Course Code,Course Title,Quarter Offered,Credits,Gen Ed Req,Course Descriptions
CSE121,Introduction to Computer Programming ICourse,WI 25Winter 202522 sections offered,44 credits,NSc and RSN,Foundations of Computing I
CSE122,Introduction to Computer Programming IICourse,WI 25Winter 202534 sections offered,44 credits,NSc and RSN,Foundations of Computing II
CSE123,Introduction to Computer Programming IIICourse,WI 25Winter 202530 sections offered,44 credits,NSc and RSN,Foundations of Computing II
CSE143,Computer Programming IICoursePrerequisite: CSE 142.,WI 25Winter 20252 sections offered,55 credits,NSc and RSN,Software Engineering
CSE160,Data ProgrammingCourse,WI 25Winter 20259 sections offered,44 credits,NSc and RSN,Freshman Direct-Admit Seminar
CSE163,"Intermediate Data ProgrammingCoursePrerequisite: Either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160.",WI 25Winter 202516 sections offered,44 credits,RSN,Description not found
CSE190,Current Topics in Computer Science and EngineeringCourse,WI 25Winter 20254 sections offered,1-51-5 credits,,Freshman Direct-Admit Seminar
CSE311,Foundations of Computing ICoursePrerequisite: A minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136.,WI 25Winter 20257 sections offered,44 credits,RSN,Foundations of Computing I
CSE312,Foundations of Computing IICoursePrerequisite: CSE 311.,WI 25Winter 202513 sections offered,44 credits,RSN,Foundations of Computing II
CSE331,Software Design and ImplementationCoursePrerequisite: A minimum grade of 2.0 in either CSE 123 or CSE 143.,WI 25Winter 20257 sections offered,44 credits,,Software Design and Implementation
CSE332,Data Structures and ParallelismCoursePrerequisite: CSE 311.,WI 25Winter 202511 sections offered,44 credits,,Data Structures and Parallelism
CSE333,Systems ProgrammingCoursePrerequisite: CSE 351.,WI 25Winter 20258 sections offered,44 credits,,Systems Programming
CSE341,Programming LanguagesCoursePrerequisite: CSE 123 or CSE 143.,WI 25Winter 20253 sections offered,44 credits,,"Programming Languages Basic concepts of programming languages, including abstraction mechanisms, static and dynamic typing, scope, syntax vs. semantics, first-class function closures, and algebraic datatypes. Detailed study of functional programming and other paradigms. Cannot be taken for credit if credit received for CSE 413. Prerequisite: CSE 123 or CSE 143."
CSE344,Introduction to Data ManagementCoursePrerequisite: CSE 311.,WI 25Winter 20255 sections offered,44 credits,,Introduction to Data Management
CSE351,The Hardware/Software InterfaceCoursePrerequisite: CSE 123 or CSE 143.,WI 25Winter 202511 sections offered,44 credits,,The Hardware/Software Interface
CSE369,Introduction to Digital DesignCoursePrerequisite: CSE 311.,WI 25Winter 20251 section offered,33 credits,,Introduction to Digital Design
CSE371,Design of Digital Circuits and SystemsCoursePrerequisite: Either E E 205 or E E 215; either E E 271 or CSE 369.,WI 25Winter 20251 section offered,55 credits,,Design of Digital Circuits and Systems
CSE373,Data Structures and AlgorithmsCoursePrerequisite: CSE 123 or CSE 143.,WI 25Winter 202510 sections offered,44 credits,,Software Design and Implementation
CSE390,Special Topics in Computer Science and EngineeringCourse,WI 25Winter 20253 sections offered,1-51-5 credits,,Mathematics for Computation Workshop
CSE391,"System and Software ToolsCoursePrerequisite: Either CSE 122, CSE 123, or CSE 143.",WI 25Winter 20252 sections offered,11 credits,,System and Software Tools
CSE403,Software EngineeringCoursePrerequisite: CSE 331; CSE 332.,WI 25Winter 20251 section offered,44 credits,,Software Engineering
CSE412,"Introduction to Data VisualizationCoursePrerequisite: Either CSE 123, CSE 143, or CSE 163.",WI 25Winter 20258 sections offered,44 credits,,Foundations of Computing II
CSE414,"Introduction to Database SystemsCoursePrerequisite: A minimum grade of 2.5 in either CSE 123, CSE 143, or CSE 163.",WI 25Winter 202510 sections offered,44 credits,,"Programming Languages Basic concepts of programming languages, including abstraction mechanisms, static and dynamic typing, scope, syntax vs. semantics, first-class function closures, and algebraic datatypes. Detailed study of functional programming and other paradigms. Cannot be taken for credit if credit received for CSE 413. Prerequisite: CSE 123 or CSE 143."
