Course Code,Course Title,Quarter Offered,Credits,Gen Ed Req,Course Descriptions
CSE121,Introduction to Computer Programming ICourse,WI 25Winter 202522 sections offered,44 credits,NSc and RSN,"Introduction to computer programming for students without previous programming experience. Students write programs to express algorithmic thinking and solve computational problems motivated by modern societal and scientific needs. Includes procedural programming constructs (methods), control structures (loops, conditionals), and standard data types, including arrays"
CSE122,Introduction to Computer Programming IICourse,WI 25Winter 202534 sections offered,44 credits,NSc and RSN,"Computer programming for students with some previous programming experience. Emphasizes program design, style, and decomposition. Uses data structures (e.g., lists, dictionaries, sets) to solve computational problems motivated by modern societal and scientific needs. Introduces data abstraction and interface versus implementation."
CSE123,Introduction to Computer Programming IIICourse,WI 25Winter 202530 sections offered,44 credits,NSc and RSN,"Computer programming for students with significant previous programming experience. Emphasizes implementation and run-time analysis of data structures and algorithms using techniques including linked references, recursion, and object-oriented inheritance to solve computational problems motivated by modern societal and scientific needs."
CSE143,Computer Programming IICoursePrerequisite: CSE 142.,WI 25Winter 20252 sections offered,55 credits,NSc and RSN,"Continuation of CSE 142 Concepts of data abstraction and encapsulation including stacks, queues, linked lists, binary trees, recursion, instruction to complexity and use of predefined collection classes."
CSE160,Data ProgrammingCourse,WI 25Winter 20259 sections offered,44 credits,NSc and RSN,"Introduction to computer programming. Assignments solve real data manipulation tasks from science, engineering, business, and the humanities. Concepts of computational thinking, problem-solving, data analysis, Python programming, control and data abstraction, file processing, and data visualization. Intended for students without prior programming experience."
CSE163,"Intermediate Data ProgrammingCoursePrerequisite: Either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160.",WI 25Winter 202516 sections offered,44 credits,RSN,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).
CSE190,Current Topics in Computer Science and EngineeringCourse,WI 25Winter 20254 sections offered,1-51-5 credits,,Seminar for Direct Admit 1st-year CSE majors.
CSE311,Foundations of Computing ICoursePrerequisite: A minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136.,WI 25Winter 20257 sections offered,44 credits,RSN,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability. Prerequisite: a minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136."
CSE312,Foundations of Computing IICoursePrerequisite: CSE 311.,WI 25Winter 202513 sections offered,44 credits,RSN,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness. Prerequisite: CSE 311.
CSE331,Software Design and ImplementationCoursePrerequisite: A minimum grade of 2.0 in either CSE 123 or CSE 143.,WI 25Winter 20257 sections offered,44 credits,,"Explores concepts and techniques for design and construction of reliable and maintainable software systems in modern high-level languages: specifications; program structure and design; program-correctness approaches, including testing; and event-driven programming (e.g., graphical user interface). Prerequisite: a minimum grade of 2.0 in either CSE 123 or CSE 143."
CSE332,Data Structures and ParallelismCoursePrerequisite: CSE 311.,WI 25Winter 202511 sections offered,44 credits,,"Covers abstract data types and structures including dictionaries, balanced trees, hash tables, priority queues, and graphs; sorting; asymptotic analysis; fundamental graph algorithms including graph search, shortest path, and minimum spanning trees; multithreading and parallel algorithms; P and NP complexity classes. No credit if CSE 373 has been taken. Prerequisite: CSE 311."
