course_code,course_title
CSE 121,Introduction to Computer Programming ICourse
CSE 122,Introduction to Computer Programming IICourse
CSE 123,Introduction to Computer Programming IIICourse
CSE 143,Computer Programming IICoursePrerequisite:Â CSE 142.
CSE 160,Data ProgrammingCourse
CSE 163,"Intermediate Data ProgrammingCoursePrerequisite:Â Either CSE 122, CSE 123, CSE 142, CSE 143, or CSE 160."
CSE 190,Current Topics in Computer Science and EngineeringCourse
CSE 311,Foundations of Computing ICoursePrerequisite:Â A minimum grade of 2.0 in either CSE 123 or CSE 143; and MATH 126 or MATH 136.
CSE 312,Foundations of Computing IICoursePrerequisite:Â CSE 311.
CSE 331,Software Design and ImplementationCoursePrerequisite:Â A minimum grade of 2.0 in either CSE 123 or CSE 143.
CSE 332,Data Structures and ParallelismCoursePrerequisite:Â CSE 311.
CSE 333,Systems ProgrammingCoursePrerequisite:Â CSE 351.
CSE 341,Programming LanguagesCoursePrerequisite:Â CSE 123 or CSE 143.
CSE 344,Introduction to Data ManagementCoursePrerequisite:Â CSE 311.
CSE 351,The Hardware/Software InterfaceCoursePrerequisite:Â CSE 123 or CSE 143.
CSE 369,Introduction to Digital DesignCoursePrerequisite:Â CSE 311.
CSE 371,Design of Digital Circuits and SystemsCoursePrerequisite:Â Either E E 205 or E E 215; either E E 271 or CSE 369.
CSE 373,Data Structures and AlgorithmsCoursePrerequisite:Â CSE 123 or CSE 143.
CSE 390,Special Topics in Computer Science and EngineeringCourse
CSE 391,"System and Software ToolsCoursePrerequisite:Â Either CSE 122, CSE 123, or CSE 143."
CSE 403,Software EngineeringCoursePrerequisite:Â CSE 331; CSE 332.
CSE 412,"Introduction to Data VisualizationCoursePrerequisite:Â Either CSE 123, CSE 143, or CSE 163."
CSE 414,"Introduction to Database SystemsCoursePrerequisite:Â A minimum grade of 2.5 in either CSE 123, CSE 143, or CSE 163."
CSE 415,Introduction to Artificial IntelligenceCoursePrerequisite:Â CSE 373.
CSE 416,"Introduction to Machine LearningCoursePrerequisite:Â Either CSE 123, CSE 143, CSE 160, or CSE 163; and either STAT 311, STAT 390, STAT 391, IND E 315, MATH 394/STAT 394, STAT 395/MATH 395, or Q SCI 381."
CSE 421,Introduction to AlgorithmsCoursePrerequisite:Â CSE 312; CSE 332.
